timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753925629955,194,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,184,0,162
1753925630154,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,8,0,0
1753925630163,7,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,7,0,0
1753925630171,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,7,0,0
1753925630179,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,8,0,0
1753925630187,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,8,0,0
1753925630196,7,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,7,0,0
1753925630204,7,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,7,0,0
1753925630212,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,8,0,0
1753925630223,8,GET /generate-catalog,200,OK,Auth Service Load 1-1,text,true,,723,164,1,2,http://auth-service.default.svc.cluster.local:8000/generate-catalog,7,0,0
1753925629957,280,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1536,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,280,0,160
1753925630240,128,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1527,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,128,0,0
1753925630369,94,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1535,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,93,0,0
1753925630463,85,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1536,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,85,0,0
1753925630549,82,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1541,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,81,0,0
1753925630632,94,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1539,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,94,0,0
1753925630727,120,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1534,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,120,0,0
1753925630848,122,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1534,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,122,0,0
1753925630971,88,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1535,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,88,0,0
1753925631060,81,GET /optimize,200,OK,MOGA Optimizer Load 2-1,text,true,,1543,158,1,1,http://moga-optimizer.default.svc.cluster.local:8000/optimize,81,0,0
1753925634613,6,GET /generate-catalog,200,OK,Auth Service Load 1-2,text,true,,723,164,1,1,http://auth-service.default.svc.cluster.local:8000/generate-catalog,6,0,1
